('2018/11/01', '09:13:11', 1.5, 'MLr_3', 15L, 6.775, 2.69, -73.184, 2.69, 143.0, 3.8, 0.55, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vkde', '2019/08/28 15:12:20', 'Los Santos - Santander, Colombia')
('2018/11/01', '09:17:57', 0.7, 'MLr', 11L, 8.114, 1.84, -73.392, 1.84, 109.0, 2.3, 0.23, 'manual', 'SGC', 'kvallejo@proc1', 'SGC22018vkglk', '2019/08/29 22:40:27', 'Oca\xc3\xb1a - Norte de Santander, Colombia')
('2018/11/01', '09:46:09', 2.6, 'MLr_3', 64L, 6.815, 0.64, -73.164, 0.64, 142.0, 1.4, 0.43, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vkeg', '2019/08/28 15:12:32', 'Los Santos - Santander, Colombia')
('2018/11/01', '10:05:40', 1.4, 'MLr_3', 11L, 6.106, 2.97, -73.575, 2.97, 109.0, 6.1, 0.55, 'manual', 'SGC', 'Dhernandez@proc1', 'SGC2018vkex', '2019/08/28 15:12:34', 'La Paz - Santander, Colombia')
('2018/11/01', '10:29:44', 1.7, 'MLr_3', 11L, 6.87, 2.76, -73.178, 2.76, 147.0, 2.1, 0.21, 'manual', 'SGC', 'Dhernandez@proc1', 'SGC2018vkfs', '2019/08/28 15:12:35', 'Zapatoca - Santander, Colombia')
('2018/11/01', '11:11:44', 1.9, 'MLr_3', 34L, 6.699, 1.34, -73.622, 1.34, 105.0, 2.7, 0.66, 'manual', 'SGC', 'mcubillos@proc3', 'SGC2018vkhc', '2019/08/28 15:12:38', 'El Carmen - Santander, Colombia')
('2018/11/01', '11:38:29', 1.9, 'MLr_3', 23L, 6.771, 2.97, -73.184, 2.97, 142.0, 3.4, 0.67, 'manual', 'SGC', 'Dhernandez@proc1', 'SGC2018vkhz', '2019/08/28 15:12:39', 'Los Santos - Santander, Colombia')
('2018/11/01', '11:56:46', 2.0, 'MLr_3', 27L, 6.809, 2.33, -73.112, 2.33, 142.0, 2.5, 0.56, 'manual', 'SGC', 'Dhernandez@proc1', 'SGC2018vkio', '2019/08/28 15:12:41', 'Los Santos - Santander, Colombia')
('2018/11/01', '14:12:44', 1.8, 'M_MLr', 23L, 7.402, 1.77, -73.236, 1.77, 130.0, 2.8, 0.51, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vknb', '2019/08/29 21:09:20', 'Rionegro - Santander, Colombia')
('2018/11/01', '14:40:51', 1.7, 'MLr_3', 9L, 6.832, 4.53, -73.173, 4.53, 147.0, 5.1, 0.44, 'manual', 'SGC', 'lperez@proc3', 'SGC2018vknz', '2019/08/28 15:12:43', 'Los Santos - Santander, Colombia')
('2018/11/01', '14:47:58', 0.9, 'MLr', 9L, 8.083, 2.62, -73.296, 2.62, 126.0, 3.2, 0.24, 'manual', 'SGC', 'kvallejo@proc1', 'SGC22018vkrin', '2019/08/29 20:39:36', '\xc3\x81brego - Norte de Santander, Colombia')
('2018/11/01', '15:18:15', 2.8, 'MLr_3', 66L, 6.815, 0.99, -73.127, 0.99, 148.0, 2.2, 0.74, 'manual', 'SGC', 'lperez@proc3', 'SGC2018vkpf', '2019/08/28 15:12:55', 'Los Santos - Santander, Colombia')
('2018/11/01', '16:37:34', 1.6, 'MLr_3', 12L, 6.788, 1.91, -73.14, 1.91, 135.0, 2.9, 0.3, 'manual', 'SGC', 'lperez@proc3', 'SGC2018vkrv', '2019/08/28 15:12:57', 'Los Santos - Santander, Colombia')
('2018/11/01', '17:26:49', 2.6, 'M', 8L, 9.542, 13.58, -73.556, 13.58, 51.0, 8.5, 0.54, 'automatic', 'SGC', 'scanloc_b', 'SGC22018vktm', '2018/11/01 17:28:23', 'Chiriguan\xc3\xa1 - Cesar, Colombia')
('2018/11/01', '17:56:10', 2.2, 'MLr_3', 40L, 6.822, 1.2, -73.114, 1.2, 145.0, 2.4, 0.57, 'manual', 'SGC', 'lperez@proc3', 'SGC2018vkul', '2019/08/28 15:13:07', 'Los Santos - Santander, Colombia')
('2018/11/01', '17:59:41', 1.5, 'M', 10L, 9.64, 3.61, -73.427, 3.61, 6.0, 9.0, 0.75, 'automatic', 'SGC', 'scanloc_b', 'SGC22018vkuo', '2018/11/01 18:00:20', 'La Jagua de Ibirico - Cesar, Colombia')
('2018/11/01', '20:04:30', 1.8, 'MLr_3', 9L, 6.89, 3.61, -73.129, 3.61, 144.0, 3.9, 0.34, 'manual', 'SGC', 'lperez@proc3', 'SGC2018vkyr', '2019/08/28 15:13:12', 'Los Santos - Santander, Colombia')
('2018/11/01', '23:26:29', 1.3, 'M_MLr', 23L, 6.871, 1.2, -73.367, 1.2, 130.0, 1.8, 0.33, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vlfi', '2019/08/28 17:55:40', 'San Vicente de Chucur\xc3\xad - Santander, Colombia')
